2053 [2012-03-25 13:23:17,946] - DEBUG - singleton - Checking for another running instance...
2053 [2012-03-25 13:23:18,012] - INFO - zeitgeist.sql - Using database: /home/saratt/.local/share/zeitgeist/activity.sqlite
2053 [2012-03-25 13:23:18,040] - DEBUG - zeitgeist.sql - Core schema is good. DB loaded in 27.3621082306ms
2053 [2012-03-25 13:23:18,064] - DEBUG - zeitgeist.extension - Searching for system extensions in: /usr/share/zeitgeist/_zeitgeist/engine/extensions
2053 [2012-03-25 13:23:18,065] - DEBUG - zeitgeist.extension - Searching for user extensions in: /home/saratt/.local/share/zeitgeist/extensions
2053 [2012-03-25 13:23:18,137] - DEBUG - zeitgeist.extension - No extra extensions
2053 [2012-03-25 13:23:18,138] - DEBUG - zeitgeist.extension - Found extensions: [<class '_zeitgeist.engine.extensions.storagemonitor.StorageMonitor'>, <class '_zeitgeist.engine.extensions.blacklist.Blacklist'>, <class '_zeitgeist.engine.extensions.datasource_registry.DataSourceRegistry'>, <class '_zeitgeist.engine.extensions.fts.SearchEngineExtension'>]
2053 [2012-03-25 13:23:18,138] - DEBUG - zeitgeist.extension - Loading extension 'StorageMonitor'
2053 [2012-03-25 13:23:18,173] - DEBUG - zeitgeist.storagemonitor - Creating NetworkManager network monitor
2053 [2012-03-25 13:23:18,184] - DEBUG - zeitgeist.storagemonitor - NetworkManager network state: 70
2053 [2012-03-25 13:23:18,184] - DEBUG - zeitgeist.storagemonitor - Setting storage medium net 'Internet' as available
2053 [2012-03-25 13:23:18,334] - DEBUG - zeitgeist.extension - Loading extension 'Blacklist'
2053 [2012-03-25 13:23:18,334] - DEBUG - zeitgeist.blacklist - No existing blacklist config found
2053 [2012-03-25 13:23:18,335] - DEBUG - zeitgeist.extension - Loading extension 'DataSourceRegistry'
2053 [2012-03-25 13:23:18,335] - DEBUG - zeitgeist.datasource_registry - Loaded data-source data from /home/saratt/.local/share/zeitgeist/datasources.pickle
2053 [2012-03-25 13:23:18,336] - DEBUG - zeitgeist.extension - Loading extension 'SearchEngineExtension'
2053 [2012-03-25 13:23:18,337] - DEBUG - zeitgeist.fts - Opening full text index: /home/saratt/.local/share/zeitgeist/fts.index
2053 [2012-03-25 13:23:18,379] - INFO - root - Trying to start the datahub
2053 [2012-03-25 13:23:18,389] - DEBUG - root - Running datahub (/usr/bin/zeitgeist-datahub) with PID=2072
2053 [2012-03-25 13:23:18,389] - INFO - root - Starting Zeitgeist service...
2053 [2012-03-25 13:23:18,424] - DEBUG - zeitgeist.engine - Found 33 events in 0.025681s
2053 [2012-03-25 13:23:18,432] - DEBUG - zeitgeist.engine - Got 33 raw events in 0.001145s
2053 [2012-03-25 13:23:18,487] - DEBUG - zeitgeist.engine - Got 33 events in 0.061735s
2053 [2012-03-25 13:23:18,488] - DEBUG - zeitgeist.engine -     Where time spent in _get_event_from_row in 0.002204s
2053 [2012-03-25 13:23:18,488] - DEBUG - zeitgeist.engine -     Where time spent in _get_subject_from_row in 0.001321s
2053 [2012-03-25 13:23:18,488] - DEBUG - zeitgeist.engine -     Where time spent in apply_get_hooks in 0.000335s
2053 [2012-03-25 13:23:18,524] - DEBUG - zeitgeist.engine - Found 69 events in 0.031406s
2053 [2012-03-25 13:23:18,538] - DEBUG - zeitgeist.engine - Got 69 raw events in 0.001213s
2053 [2012-03-25 13:23:18,538] - DEBUG - zeitgeist.engine - Got 69 events in 0.012831s
2053 [2012-03-25 13:23:18,538] - DEBUG - zeitgeist.engine -     Where time spent in _get_event_from_row in 0.003293s
2053 [2012-03-25 13:23:18,539] - DEBUG - zeitgeist.engine -     Where time spent in _get_subject_from_row in 0.002674s
2053 [2012-03-25 13:23:18,539] - DEBUG - zeitgeist.engine -     Where time spent in apply_get_hooks in 0.000662s
2053 [2012-03-25 13:23:18,568] - DEBUG - zeitgeist.engine - Found 0 events in 0.001125s
2053 [2012-03-25 13:23:31,409] - DEBUG - zeitgeist.fts - Search '((c*)) AND ((zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#Audio) OR (zgsi:http://www.semanticdesktop.org/ontologies/2009/02/19/nmm#TVShow OR zgsi:http://www.semanticdesktop.org/ontologies/2009/02/19/nmm#Movie OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#Video) OR (zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#Icon OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#VectorImage OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#Cursor OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#RasterImage OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#Image) OR (zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#SourceCode OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#Spreadsheet OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#PaginatedTextDocument OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#TextDocument OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#HtmlDocument OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#MindMap OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#PlainTextDocument OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#Presentation OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#Document) OR (zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#Website) OR (NOT (zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#OperatingSystem OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#Application OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#Software)) AND (NOT (zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#Audio)) AND (NOT (zgsi:http://www.semanticdesktop.org/ontologies/2009/02/19/nmm#TVShow OR zgsi:http://www.semanticdesktop.org/ontologies/2009/02/19/nmm#Movie OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#Video)) AND (NOT (zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#Icon OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#VectorImage OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#Cursor OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#RasterImage OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#Image)) AND (NOT (zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#SourceCode OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#Spreadsheet OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#PaginatedTextDocument OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#TextDocument OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#HtmlDocument OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#MindMap OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#PlainTextDocument OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#Presentation OR zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#Document)) AND (NOT (zgsi:http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#Website)))' gave 152 hits in 3.91983985901ms
2053 [2012-03-25 13:23:31,445] - DEBUG - zeitgeist.engine - Found 36 events in 0.023711s
2053 [2012-03-25 13:23:31,449] - DEBUG - zeitgeist.engine - Got 0 raw events in 0.003357s
2053 [2012-03-25 13:23:31,450] - DEBUG - zeitgeist.engine - Got 36 events in 0.000381s
2053 [2012-03-25 13:23:31,450] - DEBUG - zeitgeist.engine -     Where time spent in _get_event_from_row in 0.000000s
2053 [2012-03-25 13:23:31,450] - DEBUG - zeitgeist.engine -     Where time spent in _get_subject_from_row in 0.000000s
2053 [2012-03-25 13:23:31,451] - DEBUG - zeitgeist.engine -     Where time spent in apply_get_hooks in 0.000000s
